Casenew,MCZ_1,MCZ_2,MCZ_8,MCZ_10,MCZ_17,QHealthr,RSEX,AGEXr,Martstat3r,HighEd4r,GorA
3864,8,10,8,10,10,1,2,4,3,1,3
3872,8,8,9,5,9,2,2,2,2,2,5
3876,10,5,10,4,10,2,1,1,2,2,7
3886,8,6,7,6,9,2,2,6,2,4,11
3898,9,10,9,8,8,2,2,3,1,2,5
3904,10,10,10,10,10,99,1,6,1,4,7
3911,5,8,6,6,6,3,2,5,3,4,11
3920,10,10,10,0,9,1,1,3,2,2,7
3928,7,6,8,5,7,2,1,2,2,2,7
3928,8,10,10,6,5,1,1,2,1,2,8
3930,9,8,10,8,10,2,1,2,3,2,8
3930,9,9,10,9,8,2,2,4,1,2,8
3932,10,8,9,8,10,1,2,4,1,2,9
3946,7,5,7,7,6,2,1,6,3,4,11
3946,7,7,6,7,9,1,2,2,2,3,10
3952,5,5,7,8,7,2,2,4,2,1,11
3965,8,8,9,9,10,1,2,5,1,4,2
3987,10,8,5,9,0,1,2,2,1,1,3
3997,9,9,10,9,9,1,2,3,1,1,9
4008,8,6,10,9,8,2,1,5,1,4,6
4022,9,9,9,9,10,2,2,4,3,2,10
